Lab 1,Lab 2,Lab 3,Lab 4,Lab 5,Lab 6,Lab 7,Lab 8,Lab 9,Assignment 1,Assignment 2,Assignment 3,Assignment 4,Assignment 5,Midterm,W-AVG
10,10.63227337,7.834957285,6.431246696,10.85523572,7.538791899,10.65890265,8.888920386,9.129195807,41.29141503,18.62973322,31.79402055,31.60344291,28.3576748,10.31942764,50.69122424
12,9.870298996,10.93846263,8.138524896,11.40612227,11.36737421,11.72036637,9.551277703,9.797467731,41.00313645,33.50481392,32.32016658,43.48248445,27.32332072,17.21771525,81.56926525
9,9.947518788,9.615951156,6.27786574,7.037121862,10.28185892,10.77093106,8.448958461,11.09234778,33.86748584,34.8013194,23.4869283,39.6430744,29.78809072,5.552084852,50.95120358
9,11.81947469,8.901264786,9.169463695,8.905102556,8.886767301,10.06305781,8.824333539,8.100713526,39.53978389,34.89670921,34.28086442,40.11518891,30.80887788,16.09949766,58.27563079
10,10.72047802,6.463321295,10.09517308,7.764638939,9.527001036,8.055440261,11.13856149,11.18951087,39.00787746,36.59493608,36.51388306,45.93553583,31.73796058,8.914075254,54.16292392
8,8.466516367,11.27440925,8.419921636,10.76932314,8.320324976,11.00468703,9.986039058,11.61421198,41.88718562,35.05718311,36.58394572,43.49091359,30.04752797,19.44246443,73.97317904
9,11.60583291,-1.822333397,1.003251584,9.48065726,10.91791542,10.7904131,9.214880917,11.41414118,16.70479605,33.17499408,36.41390824,38.11220354,30.84839875,9.571418315,45.10065571
8,10.27784434,8.076828347,0.583288158,8.800610439,0.0,0.739612266,9.973539307,8.775173033,35.13026389,35.48351088,30.03777233,38.83678212,21.0690147,2.283904152,30.65402614
1,9.993550348,0.846473324,7.636355146,13.8519992,9.876966943,10.52536753,6.485884742,11.5448429,39.21708117,33.06305661,29.61786086,36.08086718,28.44053252,16.94341806,66.12974573
9,8.138252632,11.45206077,11.69672922,6.989254547,9.196273031,10.63708399,9.960401988,10.77340435,41.97850094,36.44087986,35.82923845,40.7426968,30.93660537,6.960097081,48.43029191
11,8.513518564,8.173684696,10.0686447,16.98351744,9.100147425,10.32914996,-0.669540708,10.9816729,22.64331502,25.57685132,33.09770187,38.62197038,31.26641743,22.8325887,76.70762599
2,-1.408204095,-0.454004411,0.0,-0.59490259,-0.529834091,-0.356538867,1.249562303,0.0,0.513901805,-1.362012991,0.0,-0.070447055,0.453931107,4.585324164,4.723603775
8,11.90761988,9.444625582,7.818806009,13.92024474,9.47642755,9.287530709,8.034043989,8.513865064,38.11318705,35.22701192,29.08050437,46.88384407,29.24741806,18.39674719,78.85946447
11,8.303423219,10.09538706,9.523877676,10.47494493,8.448660013,0.0,8.734431706,8.954648387,40.68485932,33.45271478,34.58102107,43.34515786,30.9612127,14.18243344,55.15664304
8,10.82168648,10.90391142,11.30562695,16.4818754,8.058620177,8.402211802,9.122264646,9.184190808,40.00086798,36.69355898,32.70106383,46.21944919,28.11552906,14.10169034,67.72489374
10,9.879096767,9.716569947,9.808947515,16.8267501,8.200560748,10.17788689,9.044887302,9.97086021,38.14057034,33.75609682,33.50495713,43.86482591,31.19384061,20.94644508,83.92573253
11,11.71282712,10.17735682,9.291601422,14.18912331,9.970327648,11.2770035,8.063242086,10.62233153,37.01925338,35.55837194,36.85566254,43.19212188,28.0698581,7.986930491,63.86325448
9,-0.144731147,9.650578796,1.736191222,15.59406971,11.51266734,10.75733655,8.326912105,10.77747261,39.01531444,34.03888828,28.05669044,43.91132827,28.09263599,19.01034313,75.36933942
11,8.092597705,9.569415497,6.070916457,15.40630061,10.52483459,9.368557704,7.055590829,11.91776735,38.12051087,33.50610005,35.57289885,42.7939219,31.41029878,25.06441583,85.1559368
